V2,R1,Ibias,Itail,Vout,Vnet1,Gm_S,Gm_dBS,Gain_dB,Zout_ohm,f3dB_Hz,UGBW_Hz,fGm_5deg_Hz,GmHF_ratio
2,20,-0.000800301,0.000746136,1.77652,1.77652,0.000466536,-66.6223,20.0611,21585.8,147091,1479760,68683600,1
2,40,-0.000784095,0.000733839,1.79851,1.79851,0.000467769,-66.5994,20.6091,22930.9,138456,1484590,67615000,1
2,80,-0.000753867,0.000710104,1.84137,1.84137,0.000469139,-66.574,21.5991,25624.2,123902,1490300,65728300,1
2,100,-0.000739741,0.000698693,1.86217,1.86217,0.000469376,-66.5696,22.0463,26964.7,117748,1491560,64888700,1
2,200,-0.000677353,0.00064633,1.95938,1.95938,0.000467569,-66.6031,23.9016,33514.8,94732.8,1487400,61448200,1
2,400,-0.000582527,0.000562435,2.12188,2.12188,0.000457082,-66.8001,26.3824,45617,69596.9,1454750,56701900,1
2,800,-0.00046015,0.000449626,2.35667,2.35667,0.000431914,-67.2921,29.1622,66483.5,47752.9,1375290,50741300,1
2,1000,-0.000417883,0.000409866,2.44504,2.44504,0.000420279,-67.5292,30.059,75754.9,41908.5,1339000,48598700,1
2,2000,-0.000290638,0.000288305,2.74042,2.74042,0.000374575,-68.5292,32.7304,115606,27460.7,1193640,41457600,1
2,4000,-0.000185149,0.000185654,3.03515,3.03515,0.00031949,-69.9109,35.1708,179508,17685.5,1017380,34131900,1
2,8000,-0.000109911,0.000111363,3.29753,3.29753,0.000262418,-71.6201,37.3879,282101,11253.9,836356,27225000,1
2,10000,-0.0000918176,0.0000933367,3.37233,3.37233,0.000244528,-72.2334,38.0559,326938,9710.07,778816,25148600,1
2,20000,-0.0000510296,0.0000524074,3.57232,3.57232,0.000191392,-74.3615,39.9498,519481,6111.14,609860,19355900,1
2,40000,-0.000027463,0.0000285056,3.72594,3.72594,0.000142158,-76.9446,41.4494,831189,3819.35,452655,14614000,1
2,80000,-0.0000144798,0.0000152052,3.84072,3.84072,0.0000986273,-80.1201,42.4395,1342700,2364.38,313963,10806300,1
2,100000,-0.0000117486,0.0000123872,3.871,3.871,0.0000863446,-81.2753,42.6497,1571270,2020.46,275062,9744760,1
2,200000,-0.00000609965,0.00000651989,3.94931,3.94931,0.0000546227,-85.2525,43.0181,2591400,1225.04,173992,6897030,1
2,400000,-0.00000314643,0.00000341524,4.01018,4.01018,0.0000326439,-89.724,43.0826,4368480,726.734,104030,4711950,1
2,800000,-0.00000161669,0.00000178389,4.05984,4.05984,0.0000187147,-94.5563,43.0169,7562490,419.789,59650.1,3154840,1
2,1000000,-0.00000130401,0.00000144659,4.07419,4.07419,0.0000155504,-96.1652,42.9938,9077160,349.73,49513.7,2768920,1
2,2000000,-0.000000668007,0.000000753093,4.11522,4.11522,0.00000863466,-101.275,42.9669,16296700,194.795,27506.8,1832760,1
2,4000000,-0.00000034171,0.000000390881,4.15261,4.15261,0.0000047307,-106.502,43.0328,29972000,105.918,15077.9,1169950,1.43993
2,8000000,-0.0000001746,0.000000202226,4.1878,4.1878,0.00000256351,-111.823,43.1702,56192100,56.4965,8167.08,700462,2.34264
2,10000000,-0.000000140629,0.000000163461,4.19882,4.19882,0.00000210039,-113.554,43.2225,68997000,46.0122,6694.62,585909,2.77975
2,20000000,-0.0000000717641,0.0000000842501,4.23226,4.23226,0.00000112344,-118.989,43.3878,131474000,24.1458,3576.34,326082,4.88427
2,40000000,-0.0000000365908,0.0000000433313,4.2647,4.2647,0.000000595724,-124.499,43.5366,252223000,12.5869,1898.72,176224,8.87595
2,80000000,-0.000000018643,0.0000000222521,4.29618,4.29618,0.000000313065,-130.087,43.6524,486385000,6.52771,996.4,93847.9,16.5046
2,100000000,-0.0000000150029,0.0000000179509,4.30612,4.30612,0.000000254217,-131.896,43.6821,601035000,5.2828,809.669,76458.3,20.2137
3,10,-0.0020462,0.00110254,1.18889,1.18889,0.00028589,-70.876,-0.839656,3175.54,999793,0,175200000,1
3,20,-0.00201833,0.00109954,1.19351,1.19351,0.000287096,-70.8394,-0.714472,3208.11,989627,0,174018000,1
3,40,-0.00196506,0.00109358,1.2027,1.2027,0.00028954,-70.7658,-0.462484,3274.67,969508,0,171643000,1
3,80,-0.00186738,0.00108179,1.22092,1.22092,0.000294562,-70.6165,0.0487044,3413.96,929995,98944.6,166847000,1
3,100,-0.00182248,0.00107596,1.22997,1.22997,0.000297144,-70.5406,0.308327,3486.98,910531,247405,164428000,1
3,200,-0.00162956,0.00104727,1.27473,1.27473,0.000310845,-70.1491,1.65517,3892.38,815710,556791,152296000,1
3,400,-0.00135235,0.000991206,1.36355,1.36355,0.000342883,-69.2971,4.6766,4996.71,635443,886178,128253000,1
3,800,-0.0010207,0.000878783,1.54752,1.54752,0.000419919,-67.5367,12.2666,9776.04,324798,1297690,88882700,1
3,1000,-0.000912472,0.000821646,1.64442,1.64442,0.000448634,-66.9622,16.0583,14158.7,224253,1410180,77547300,1
3,2000,-0.000604803,0.000582491,2.0822,2.0822,0.000460298,-66.7392,25.8315,42514.2,74677.9,1465020,57792100,1
3,4000,-0.00036937,0.000363829,2.55191,2.55191,0.000404899,-67.8531,31.0724,88363.2,35928.8,1289380,46022300,1
3,8000,-0.000212116,0.000212055,2.95372,2.95372,0.000335632,-69.4827,34.5021,158212,20066.2,1069590,36184000,1
3,10000,-0.000175658,0.000176336,3.06509,3.06509,0.000313375,-70.0787,35.4176,188285,16861,997240,33369500,1
3,20000,-0.0000955008,0.0000970118,3.35658,3.35658,0.000248366,-72.0982,37.9135,316650,10025.8,790500,25591400,1
3,40000,-0.0000505495,0.0000519227,3.57506,3.57506,0.000190593,-74.3979,39.9767,523275,6066.79,607366,19274000,1
3,80000,-0.0000262895,0.0000273084,3.73502,3.73502,0.000138933,-77.1439,41.5348,858885,3696.28,442324,14322400,1
3,100000,-0.0000212451,0.000022152,3.77647,3.77647,0.000123705,-78.1522,41.9129,1007520,3150.91,393862,12974800,1
3,200000,-0.0000109023,0.000011512,3.88113,3.88113,0.0000822042,-81.7021,42.7128,1662440,1909.59,261980,9384560,1
3,400000,-0.00000556407,0.00000595959,3.95867,3.95867,0.0000509987,-85.8488,43.0414,2782980,1140.75,162461,6553220,1
3,800000,-0.0000028304,0.00000308011,4.01871,4.01871,0.0000299497,-90.4721,43.0767,4758230,667.192,95454.9,4423510,1
3,1000000,-0.00000227588,0.00000248997,4.03546,4.03546,0.000024998,-92.0419,43.0565,5687480,558.166,79552,3880690,1
3,2000000,-0.00000115497,0.0000012851,4.082,4.082,0.0000139934,-97.0815,42.9831,10074700,315.104,44535.5,2571760,1
3,4000000,-0.000000585539,0.000000662114,4.12281,4.12281,0.00000767759,-102.296,42.9724,18340000,173.094,24459.5,1684750,1.03936
3,8000000,-0.000000296652,0.000000340292,4.16017,4.16017,0.00000416251,-107.613,43.0575,34160200,92.9335,13267,1056090,1.58458
3,10000000,-0.000000238303,0.000000274494,4.17171,4.17171,0.00000340836,-109.349,43.1003,41924700,75.7208,10860.4,895688,1.85257
